TR,A,L,T,Force,Disp
1,120,300,2,0,274.4423523
1,120,300,2,0,275.1986694
1,120,300,2,0,275.9549866
1,120,300,2,0,276.7113037
1,120,300,2,0,277.4676209
1,120,300,2,0,278.223938
1,120,300,2,0,278.9802551
1,120,300,2,0,279.7365723
1,120,300,2,0,280.4928894
1,120,300,2,0,281.2492371
1,120,300,2,0,282.0055542
1,120,300,2,0,282.7618713
1,120,300,2,0,283.5181885
1,120,300,2,0.21542348,284.2745056
1,120,300,2,0.788103819,285.0308228
1,120,300,2,1.267617226,285.7871399
1,120,300,2,1.59394598,286.543457
1,120,300,2,1.826707363,287.2997742
1,120,300,2,1.905650497,288.0560913
1,120,300,2,1.999199867,288.8123169
1,120,300,2,2.116555214,289.5683594
1,120,300,2,2.22610116,290.3243713
1,120,300,2,2.323134184,291.0804138
1,120,300,2,2.389483452,291.8364563
1,120,300,2,2.406669617,292.5924988
1,120,300,2,2.436449051,293.3485413
1,120,300,2,2.486064911,294.1045837
1,120,300,2,2.56337285,294.8605957
1,120,300,2,2.68429327,295.6166382
1,120,300,2,2.915960074,296.3726807
1,120,300,2,3.319134712,297.1287231
1,120,300,2,3.55610776,297.8847656
1,120,300,2,3.537900686,298.6408081
1,120,300,2,3.52426362,299.3968506
1,120,300,2,3.517642736,300.1528626
1,120,300,2,3.575004816,300.908905
1,120,300,2,3.728959084,301.6649475
1,120,300,2,3.800149202,302.42099
1,120,300,3.5,0,0
1,120,300,3.5,0,0
1,120,300,3.5,59.20153809,0.774387956
1,120,300,3.5,117.9770813,1.548775911
1,120,300,3.5,107.9087067,2.323163986
1,120,300,3.5,97.67488098,3.097551823
1,120,300,3.5,50.27287674,3.871939898
1,120,300,3.5,3.29054451,4.646327972
1,120,300,3.5,5.11464119,5.420716286
1,120,300,3.5,7.118543625,6.195104122
1,120,300,3.5,27.35967636,6.969492912
1,120,300,3.5,47.23095322,7.743880749
1,120,300,3.5,32.11395645,8.518269539
1,120,300,3.5,17.16748047,9.292656899
1,120,300,3.5,14.83685017,10.06704521
1,120,300,3.5,12.69750786,10.84143353
1,120,300,3.5,23.00741959,11.61582089
1,120,300,3.5,33.00284576,12.3902092
1,120,300,3.5,24.31067848,13.16459751
1,120,300,3.5,15.75495052,13.93898583
1,120,300,3.5,14.64856625,14.71337414
1,120,300,3.5,13.74676704,15.48767281
1,120,300,3.5,22.64842033,16.25772476
1,120,300,3.5,31.25208092,17.02777481
1,120,300,3.5,26.94229126,17.79782677
1,120,300,3.5,22.70670509,18.56787872
1,120,300,3.5,21.37097931,19.33793068
1,120,300,3.5,20.20814896,20.10798073
1,120,300,3.5,25.43567658,20.87803268
1,120,300,3.5,30.36992836,21.64808464
1,120,300,3.5,25.32017899,22.4181366
1,120,300,3.5,20.55728722,23.18818665
1,120,300,3.5,24.90274811,23.9582386
1,120,300,3.5,29.14207268,24.72829056
1,120,300,3.5,30.26406288,25.49834061
1,120,300,3.5,31.31903648,26.26839447
1,120,300,3.5,30.47688103,27.03844452
1,120,300,3.5,29.69808769,27.80849648
1,120,300,3.5,30.56324768,28.57854843
1,120,300,3.5,31.4209137,29.34859848
1,120,300,3.5,32.09246826,30.11865044
1,120,300,3.5,32.74706268,30.88848686
1,120,300,3.5,32.99994659,31.6532135
1,120,300,3.5,33.27776718,32.41794205
1,120,300,3.5,34.1118927,33.18266678
1,120,300,3.5,34.9040184,33.94739151
1,120,300,3.5,34.80686951,34.71212006
1,120,300,3.5,34.75485611,35.47684479
1,120,300,3.5,35.62002564,36.24157333
1,120,300,3.5,36.56613922,37.00629807
1,120,300,3.5,39.09346771,37.77102661
1,120,300,3.5,41.39258194,38.53575134
1,120,300,3.5,39.40065765,39.30047607
1,120,300,3.5,37.47509003,40.06520462
1,120,300,3.5,36.75205994,40.82992935
1,120,300,3.5,36.06639481,41.5946579
1,120,300,3.5,36.02904511,42.35938263
1,120,300,3.5,35.9264183,43.12410736
1,120,300,3.5,34.73374558,43.88883591
1,120,300,3.5,33.55965805,44.65356445
1,120,300,3.5,32.68264008,45.41828919
1,120,300,3.5,31.85020828,46.18267822
1,120,300,3.5,31.71269226,46.94181442
1,120,300,3.5,31.58985519,47.70095062
1,120,300,3.5,31.68801308,48.46008682
1,120,300,3.5,31.76092339,49.21922302
1,120,300,3.5,31.4651165,49.97835541
1,120,300,3.5,31.12017441,50.73749161
1,120,300,3.5,30.08756256,51.49662781
1,120,300,3.5,29.19792366,52.25576401
1,120,300,3.5,30.24681854,53.01490021
1,120,300,3.5,31.23640251,53.77403641
1,120,300,3.5,31.43904686,54.53317261
1,120,300,3.5,31.62266731,55.29230881
1,120,300,3.5,31.56289482,56.05144501
1,120,300,3.5,31.56171227,56.81058121
1,120,300,3.5,32.29069901,57.56971741
1,120,300,3.5,32.98877335,58.32885361
1,120,300,3.5,33.31361008,59.08798981
1,120,300,3.5,33.62620544,59.84712219
1,120,300,3.5,33.79546738,60.60625839
1,120,300,3.5,33.95085907,61.36495972
1,120,300,3.5,33.94692612,62.11868668
1,120,300,3.5,33.94148254,62.87241745
1,120,300,3.5,33.91909027,63.62614441
1,120,300,3.5,33.89434052,64.37987518
1,120,300,3.5,33.84415054,65.13359833
1,120,300,3.5,33.77112579,65.8873291
1,120,300,3.5,33.45794678,66.64105988
1,120,300,3.5,33.08101273,67.39478302
1,120,300,3.5,32.0517807,68.14851379
1,120,300,3.5,31.06728935,68.90224457
1,120,300,3.5,30.53176689,69.65597534
1,120,300,3.5,29.99764442,70.40969849
1,120,300,3.5,29.47733688,71.16342926
1,120,300,3.5,28.96336556,71.91716003
1,120,300,3.5,28.51018143,72.67088318
1,120,300,3.5,28.04867935,73.42461395
1,120,300,3.5,27.50954437,74.17834473
1,120,300,3.5,26.99573326,74.93206787
1,120,300,3.5,26.71455002,75.68579865
1,120,300,3.5,26.43493843,76.43906403
1,120,300,3.5,26.16935921,77.18821716
1,120,300,3.5,25.91967011,77.9373703
1,120,300,3.5,25.80873871,78.68651581
1,120,300,3.5,25.70112228,79.43566895
1,120,300,3.5,25.62203598,80.18482208
1,120,300,3.5,25.53543663,80.93397522
1,120,300,3.5,25.38531303,81.68312073
1,120,300,3.5,25.24575806,82.43227387
1,120,300,3.5,25.19356537,83.181427
1,120,300,3.5,25.12462235,83.93057251
1,120,300,3.5,24.9203186,84.67972565
1,120,300,3.5,24.72379684,85.42887878
1,120,300,3.5,24.58890533,86.17802429
1,120,300,3.5,24.41375923,86.92717743
1,120,300,3.5,23.92850494,87.67633057
1,120,300,3.5,23.36491585,88.42547607
1,120,300,3.5,22.20943642,89.17462921
1,120,300,3.5,21.13560486,89.92378235
1,120,300,3.5,20.6681366,90.67292786
1,120,300,3.5,20.30617905,91.42163849
1,120,300,3.5,20.71897507,92.16710663
1,120,300,3.5,21.11234283,92.9125824
1,120,300,3.5,21.36674118,93.65805054
1,120,300,3.5,21.57806015,94.40351868
1,120,300,3.5,21.48573494,95.14898682
1,120,300,3.5,21.35612106,95.89445496
1,120,300,3.5,20.96933174,96.6399231
1,120,300,3.5,20.58718491,97.38539124
1,120,300,3.5,20.23671532,98.13085938
1,120,300,3.5,19.91240883,98.87632752
1,120,300,3.5,19.76226044,99.62179565
1,120,300,3.5,19.59170342,100.3672638
